Movie,Worldwide Net Revenue
Marley & Me,187812011 
The Green Mile,230701374 
The Truman Show,204118201 
Sully,178524556 
The Bourne Identity,154357371 
Couples Retreat,112450423 
Goldeneye,296429933 
The Italian Job,116262839 
Daddy Day Care,104285587 
The General\'s Daughter,89705852 
The Prince of Egypt,158613188 
Collateral,157602967 
Cats & Dogs,140700000 
Two Weeks Notice,139043309 
Antz,92457863 
The Scorpion King,105890634 
Red,136439693 
Starsky & Hutch,110200225 
Days of Thunder,97670733 
Cheaper by the Dozen 2,75015330 
Eat Pray Love,146598789 
Jack Reacher,157370736 
Man on Fire,70968579 
The Family Man,64715863 
Contagion,77551591 
Any Given Sunday,40230832 
The Horse Whisperer,126883563 
Coraline,66037057 
Ladder 49,42332848 
Deep Blue Sea,105048228 
Michael Jackson's This Is It,192091016 
Ticket to Paradise,112508311 
Kangaroo Jack,30558582 
The Happening,102778384 
London Has Fallen,135194085 
Rules of Engagement,11719931 
The Shaggy Dog,27123569 
Jingle All the Way,69832389 
Hellboy,39823958 
Jack Reacher: Never Go Back,99946489 
Baywatch,115863783 
U.S. Marshals,-2166397 
A Civil Action,-3290019 
Joy,41134059 
ParaNorman,48119662 
The Jackal,99356941 
Paycheck,38819789 
Up Close & Personal,40645801 
The Tale of Despereaux,30482317 
The Boxtrolls,51898741 
The Tuxedo,44429625 
Jack Ryan: Shadow Recruit,71377412 
Under Siege 2: Dark Territory,44324083 
Miss Congeniality 2: Armed and Fabulous,41292343 
Vice,10893782 
Alien: Resurrection,100700000 
Shooter,35538560 
Practical Magic,8336997 
Gangster Squad,44100903 
Smurfs: The Lost Village,137578586 
First Man,45523737 
Year One,-2395277 
Edge of Darkness,22812456 
Star Trek: Nemesis,7312826 
Reign of Fire,22150183 
Planet 51,48996113 
Duplicity,21079566 
Righteous Kill,18481410 
Invictus,64514011 
State of Play,28832210 
My Favorite Martian,-23149899 
The Sentinel,18080697 
Trouble with the Curve,-12181087 
Intolerable Cruelty,61327628 
The Relic,-26043392 
Mercury Rising,-27016668 
Almost Famous,-12628809 
Cold Pursuit,2599159 
Analyze That,-5005243 
The Soloist,-21477550 
The Mortal Instruments: City of Bones,15965567 
The Legend of Bagger Vance,-20764514 
Dragonfly,-29682575 
Priest,24154026 
Garfield: A Tail of Two Kitties,87985373 
XXX: State of the Union,11073932 
Event Horizon,-33326046 
Sinbad: Legend of the Seven Seas,20767884 
Dark Water,-10526907 
The Avengers,-11414584 
The Black Dahlia,-10761475 
EDtv,-24680311 
The Spirit,-20993812 
The Last Castle,-39458332 
Inkheart,6655938 
Monster Hunter,-15546063 
Supernova,-45183506 
Flyboys,-45183621 
Winter’s Tale,-30424967 
Holy Man,-47930281 
Meet Dave,-9351194 
Nightmare Alley,-22462227 
The Great Raid,-49402930 
Rock Dog,-35851512 
Mortdecai,-29603866 
The SpongeBob Movie: Sponge on the Run,-55189210 
In the Name of the King: A Dungeon Siege Tale,-46766780 
Beyond Borders,-48572910 
Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing,134058503 
The Informer,-57633927 
Coming 2 America,-60000000 
The Ridiculous 6,-60000000 
Lady and the Tramp,-60000000 
Sherlock Gnomes,38459106 
The Kid Who Would Be King,-30703017 
Deadpool,723947691 
American Sniper,489326372 
Goosebumps,100952243 
Rambo III,130715611 
Sabrina,29100000 
Red Tails,-7634502 
Just Like Heaven,42687083 
The Internship,35672764 
The Flintstones in Viva Rock Vegas,1431365 
Leatherheads,-16651372 
Life,43815660 
Did You Hear About the Morgans?,22480566 
"Che, Part 1: The Argentine",-26372630 
Sex and the City,357747258 
Resident Evil: Afterlife,238374190 
That’s My Boy,1379681 
Devil’s Advocate,96007424 
Ghost Rider: Spirit of Vengeance,92217355 
Dragonheart,47364680 
After the Sunset,-18670886 
Captain Corelli's Mandolin,5097495 
Into the Woods,156216317 
Anger Management,139484552 
The Pacifier,142006880 
Walking Tall,-8143617 
Zhuo yao ji,303295591 
Joker,1014121583 
Forrest Gump,624835137 
Alvin and the Chipmunks,307605033 
Bohemian Rhapsody,827205260 
Hitch,311784257 
Meet the Parents,275425040 
The Pursuit of Happyness,252311093 
Pocahontas,292100000 
Superman,245200000 
The Nutty Professor,218814019 
Fifty Shades Darker,326367046 
Captain Phillips,165648184 
George Of The Jungle,119463257 
American Wedding,177354205 
Murder on the Orient Express,296767147 
The Equalizer,137903624 
Fifty Shades Freed,316985018 
Casper,227300000 
Date Night,97269033 
Maid in Manhattan,108838217 
Crimson Tide,104387195 
Flightplan,159392904 
Disclosure,157200000 
City of Angels,143750909 
Paddington,197410984 
R.V.,32473024 
Stargate,141565669 
Kill Bill: Volume 1,121469428 
Mr. Poppers's Penguins,134624452 
Bowfinger,43699769 
Kill Bill: Volume 2,98535982 
Tango & Cash,8408614 
Death Becomes Her,94022650 
Shanghai Noon,16189835 
Executive Decision,67079192 
Free Birds,55387072 
Alien 3,103500000 
The Forbidden Kingdom,74075270 
The Phantom of the Opera,98770052 
Muppets Most Wanted,24312301 
Evita,96947179 
Kubo and the Two Strings,22548122 
Mortal Kombat,28508259 
Ronin,15692101 
Burlesque,35552675 
The Ghost and the Darkness,-16435578 
Changeling,58805580 
The Watch,12130045 
The Hunted,-7786905 
Instinct,-20894793 
Stuck On You,8537164 
Semi-Pro,-11019637 
Annihilation,-11929085 
Crimson Peak,19966854 
The Pirates! Band of Misfits,81143605 
In the Heights,-11353024 
Aeon Flux,-1086427 
Chain Reaction,5209334 
The Fan,-36417035 
Elizabeth: The Golden Age,19870866 
Imagine That,-32561856 
Gods and Generals,-42076064 
Turbulence,-43467226 
Bullet to the Head,-32402031 
All the King's Men,-45478542 
Thunderbirds,-26768556 
Un long dimanche de fian?ailles,14722444 
Lucky You,-48478171 
Lolita,-53852216 
Eye See You,-53192010 
Superman II,136400000 
Blade 2,100338601 
"You, Me and Dupree",76402010 
Seven Pounds,112617328 
The Godfather: Part III,12788488 
Elizabethtown,-3280627 
Gigli,-46873998 
Shaft,54177170 
The Dukes of Hazzard,56848461 
Law Abiding Citizen,78159781 
Black Mass,45837872 
Anastasia,86801096 
Moulin Rouge,126199536 
Domestic Disturbance,1207112 
Flags of Our Fathers,10657941 
Grindhouse,-2812211 
Beloved,-30147513 
Zero Dark Thirty,82112435 
Catch Me if You Can,303612291 
Mamma Mia!,540235962 
The Break-Up,153727307 
Valentine's Day,165569328 
Casino,58400000 
The Change-Up,23997067 
The Thin Red Line,45709034 
Man on the Moon,-4592365 
From Paris With Love,1139168 
Bulletproof Monk,-25077508 
"Me, Myself & Irene",98270999 
Barnyard: The Original Party Animals,67583844 
Alpha,48624873 
Deck the Halls,-4184193 
Greyhound,-50300000 
The Adjustment Bureau,76731325 
The Twilight Saga: New Moon,637557727 
Shrek,441812794 
Ted,506016627 
22 Jump Street,281333876 
Robin Hood: Prince of Thieves,340500000 
Jerry Maguire,223552592 
Daddy’s Home,191504989 
As Good as it Gets,264111923 
Patch Adams,152173000 
Central Intelligence,167194805 
Anchorman 2: The Legend Continues,122246223 
Super 8,207972745 
Mr. Deeds,121269535 
Erin Brockovich,207805243 
Creed II,163591522 
Peter Rabbit,296727372 
How to Lose a Guy in 10 Days,128503788 
Interview with the Vampire,173564608 
The Mule,123453994 
Yes Man,175990976 
Non-Stop,172383055 
Stepmom,109745279 
Disney Planes,188059569 
Failure to Launch,78402901 
Inside Man,135798265 
The Emoji Movie,166564839 
"Crazy, Stupid, Love",96493974 
The Post,129769457 
Payback,111626121 
Congo,102022333 
Knowing,136450317 
The Ring Two,111941727 
We Bought a Zoo,68729073 
Moneyball,61300835 
Garfield: The Movie,158094550 
Christmas with the Kranks,46469187 
V for Vendetta,80214162 
Outbreak,140023573 
The Woman King,44374749 
Race to Witch Mountain,55103784 
The Forgotten,67211892 
Herbie: Fully Loaded,94110682 
Shanghai Knights,38316835 
Planes: Fire and Rescue,106399644 
Curious George,21052604 
American Reunion,186799211 
Hansel & Gretel: Witch Hunters,164949716 
I am Number Four,96195159 
Don’t Say a Word,54488383 
13 Hours: The Secret Soldiers of Benghazi,19411370 
Unfaithful,69114494 
American Made,85569212 
Syriana,42690959 
Resident Evil: Apocalypse,75168734 
The Book of Life,47651543 
Absolute Power,68310 
Firewall,32751189 
The Game,30369970 
G.I. Jane,-1830844 
Into the Storm,100429371 
The Judge,26073556 
Silent Hill,44704227 
"Lyle, Lyle, Crocodile",54060734 
Tom and Jerry,82370100 
A Man Called Otto,20952864 
Rambo: Last Blood,41378886 
The Replacements,54511 
The Negotiator,-894234 
War Dogs,36234503 
Beverly Hills Cop III,69180938 
Gremlins 2: The New Batch,-8523903 
The Peacemaker,12967368 
Out of Time,5489826 
Bridget Jones: The Edge Of Reason,213894551 
The Beach,-10221401 
The Adventures of Sharkboy and Lavagirl in 3-D,19425966 
On Deadly Ground,-11409542 
Ninja Assassin,12209892 
Raising Helen,-157569 
The Nice Guys,9596747 
For Love of the Game,-3887360 
Jack Frost,-15354626 
Marmaduke,39895930 
Striptease,63309743 
Hereafter,58660270 
Murder by Numbers,6643267 
Assassins,33306268 
Hostiles,-13023664 
Zoolander 2,5348693 
Defiance,2987754 
Hannibal Rising,30583311 
The Story of Us,-22899970 
The Host,14477051 
Basic,-7401502 
Run All Night,21561644 
Blood Work,-23800483 
The International,3850527 
Escape from L.A.,-24573139 
Twisted,-9880152 
All the Money in the World,6890649 
The Life Aquatic with Steve Zissou,-15193274 
The Iron Giant,-18666083 
Hellboy,3956480 
Your Highness,-23878362 
Snowden,-14619082 
Dream House,-8357834 
Free State of Jones,-26762748 
Gamer,-7997971 
Man of the House,-27900294 
The Life of David Gale,-21079812 
Beautiful Creatures,10282876 
Into the Blue,-8017773 
Eastern Promises,6077088 
Baby’s Day Out,-33418425 
King Richard,-12005134 
The Messenger: The Story of Joan of Arc,-35728703 
Fair Game,-23902503 
Drive Angry,-8957417 
Mad City,-39438962 
The Scarlet Letter,-39640994 
Domino,-26425943 
Jade,-40187130 
Street Fighter: The Legend of Chun-Li,-37339713 
Death to Smoochy,-41625938 
Early Man,-4714110 
The Many Saints of Newark,-37267961 
The Boat That Rocked,-12527349 
The Big Bounce,-43373885 
What Planet Are You From?,-43708398 
Liu Lang Di Qiu,651751455 
Arctic Dogs,-38714846 
The Rhythm Section,-44016957 
Child 44,-41995779 
Outlander,-48749383 
Upside Down,-23612961 
Shanghai,-34494078 
Hannibal the Conqueror,-50000000 
Dora and the Lost City of Gold,71592276 
The One,23689126 
Chappie,56002056 
The Adventures of Ford Fairlane,-28576611 
Anna Karenina,22004627 
Indiana Jones and the Last Crusade,426171806 
The Ring,200218486 
Traffic,160300000 
Panic Room,148308367 
Taken 3,279656424 
Zombieland: Double Tap,77213018 
The Thomas Crown Affair,76304264 
Instant Family,71736188 
The Bone Collector,103463090 
Three Kings,59752036 
Tooth Fairy,64610386 
Rat Race,38607223 
3:10 to Yuma,23171825 
K-PAX,16978140 
Kate and Leopold,22937778 
Bedazzled,42376224 
Out of Sight,29562568 
The Cotton Club,-22071279 
Charlie’s Angels,25235048 
Rambo,65744290 
The Infiltrator,-25347863 
Dick Tracy,115738726 
Arrival,155754970 
The Cable Guy,55825796 
Addams Family Values,-706145 
Earth,69773317 
Riding in Cars with Boys,-17218547 
Happily N'Ever After,-9076182 
Solaris,-32029962 
Jonah Hex,-35977304 
Mary Reilly,-34100000 
Silence,-22773374 
Mr. Nobody,-46477746 
My Best Friend's Wedding,252923419 
America's Sweethearts,114648493 
Star Trek: First Contact,104000000 
Insomnia,67622499 
Prisoners,67310547 
Courage Under Fire,54833145 
Inchon,-41591364 
Arthur and the War of Two Worlds,-9319176 
Liar Liar,257710615 
A Bug’s Life,318095319 
Taken 2,332807404 
The Flintstones,313500000 
Scary Movie 3,110200000 
Miss Congeniality,168420951 
Pitch Perfect 3,140736412 
Journey to the Center of the Earth,198180937 
The Pelican Brief,142995859 
The Princess Diaries 2: Royal Engagement,89713435 
The Bucket List,129807445 
The Client,72615211 
The Muppets,115971922 
Patriot Games,133100000 
Monster-in-Law,110931301 
Training Day,59505352 
The Girl on the Train,129278214 
Galaxy Quest,45523726 
Scary Movie 2,96189101 
Blade,86237688 
Coach Carter,31665507 
The Bounty Hunter,90808837 
Changing Lanes,21790248 
Anaconda,91998907 
Underworld: Evolution,68417762 
A Beautiful Day in the Neighborhood,23590003 
Coyote Ugly,68916474 
Love Actually,201546998 
Jack,13617334 
The Specialist,125362581 
Office Christmas Party,70097874 
Tin Cup,30854588 
"Yours, Mine and Ours",27359917 
Kicking and Screaming,10842724 
The Hitchhiker's Guide to the Galaxy,57746214 
Resident Evil: Extinction,104871103 
Fat Albert,3563556 
Savages,37513490 
The River Wild,49215000 
Blended,82990741 
All Eyez on Me,12697426 
Peter Rabbit 2: The Runaway,107506414 
Last Holiday,-1656753 
16 Blocks,20595141 
The Indian in the Cupboard,-9372778 
Cellular,16453420 
Doctor Sleep,26720838 
The Ant Bully,4610898 
Johnny English,116735791 
Dune,-17496509 
Aliens in the Attic,14551283 
Across the Universe,-15632857 
Revolutionary Road,34604820 
Babylon A.D.,25216497 
Richard Jewell,-1907790 
Frankenstein,67006296 
The Glimmer Man,-8595159 
UglyDolls,-12369401 
Multiplicity,-24866674 
The Pledge,-15593868 
The Producers: The Movie Musical,-12047005 
Paws of Fury: The Legend of Hank,-4833862 
The Phantom,-27779401 
Rebound,-27507986 
The Ghost Writer,20532491 
All the Pretty Horses,-26879733 
Bangkok Dangerous,1598133 
Nixon,-10331751 
Dredd,-3532394 
The Rum Diary,-23455268 
Deep Rising,-33796974 
Welcome to Marwen,-31913863 
Bloodshot,-7836946 
The Seeker: The Dark is Rising,-13147381 
Johnny English Reborn,119640401 
Miracle at St. Anna,-35323503 
Big Trouble,-36511129 
Man cheng jin dai huang jin jia,31904429 
Love in the Time of Cholera,-13922582 
Pinocchio,-13318189 
Shadow Conspiracy,-42845460 
Foodfight!,-44879677 
Hillbilly Elegy,-44961148 
Argo,182640757 
The Fugitive,309715317 
Rambo: First Blood Part II,256400000 
Sleepers,121600852 
Charlie St. Cloud,4478084 
The Juror,-21269076 
The Interview,-31657368 
Heaven's Gate,-40515477 
The Heat,186727774 
Finding Forrester,37013623 
28 Days,19063972 
Danny the Dog,6037621 
The Sweetest Thing,20078756 
The Girl in the Spider’s Web,-8016658 
Last Night in Soho,-20123052 
A Monster Calls,3414530 
The Mechanic,33847393 
The Firm,228340892 
21 Jump Street,160812429 
Notting Hill,321718196 
Little Women,176838386 
Chicken Run,185793915 
Along Came Polly,131044410 
Boomerang,89052444 
Brüno,96708527 
Cleopatra,29000000 
Snatched,18129558 
Here Comes the Boom,31239258 
High Crimes,21781100 
The Mirror Has Two Faces,-732531 
Red Riding Hood,49678442 
The Mothman Prophecies,14438555 
Licence to Kill,114167015 
Holmes & Watson,-73395 
One for the Money,-5802779 
15 Minutes,14331864 
Lord of War,18437727 
Super Mario Bros.,-21155093 
Hero,24787173 
Man on a Ledge,7621440 
The Warrior's Way,-33485675 
McHale's Navy,-37591580 
Micmacs,-23178424 
Les Bronzés 3: amis pour la vie,41833602 
Pourquoi j'ai pas mangé mon père,-26548337 
8 Mile,204768384 
Rocketman,151133784 
A Knight’s Tale,59622586 
The Medallion,-18891023 
The Big Year,-33315476 
The King’s Daughter,-38342250 
The Sixth Sense,632806292 
Wedding Crashers,243218368 
The Karate Kid,311774938 
John Wick: Chapter 3 — Parabellum,287778375 
Fifty Shades of Grey,530794950 
Knives Out,272898746 
The Proposal,274709717 
American Hustle,217858943 
Cheaper by the Dozen,150212113 
Lucy,417507776 
Lone Survivor,109804632 
Back to the Future Part II,291971868 
Double Jeopardy,137835231 
Spy Kids 3-D: Game Over,127851995 
A Time to Kill,112266007 
A League of Their Own,92440066 
The Conjuring 2: The Enfield Poltergeist,270196332 
The Social Network,184922135 
Julie & Julia,91516178 
He's Just Not That Into You,141053657 
John Wick: Chapter Two,131317271 
Ride Along 2,84827316 
Scary Movie 4,138710620 
Get Hard,71711453 
Scream 3,121838076 
Back to the Future Part III,204087259 
The Accountant,112962083 
Dumb and Dumber To,116553592 
The Other Woman,155111193 
Bram Stoker's Dracula,175862666 
Eight Below,80455994 
The Talented Mr. Ripley,88792130 
The Intern,157115710 
The Last of the Mohicans,35505856 
Ray,84823094 
Sin City,118527918 
Bridge of Spies,122498338 
Vantage Point,110886329 
"I Love You, Man",52302502 
Shallow Hal,30836296 
JFK,165400000 
Big Momma's House 2,97047376 
Angel Has Fallen,93345583 
The House with a Clock in its Walls,91457147 
Hacksaw Ridge,129023926 
The Mexican,105238250 
The Final Destination,147384627 
The Conjuring: The Devil Made Me Do It,160266441 
17 Again,99474906 
Unknown,96123083 
Get Him to the Greek,52994927 
Gothika,101484812 
Behind Enemy Lines,18855732 
The Lincoln Lawyer,47145086 
Shall We Dance?,130125882 
Invincible,18501127 
Escape From Planet Earth,34156610 
Small Soldiers,31743823 
Spawn,47949859 
Horrible Bosses 2,65945357 
The Count of Monte Cristo,35389090 
The Prestige,64407366 
The Lake House,74830111 
Predators,87234389 
The Odd Life of Timothy Green,15249159 
The Living Daylights,151199996 
Apocalypto,81032272 
Music and Lyrics,106196885 
Legal Eagles,9851591 
Secret Window,52110539 
The Skeleton Key,52256918 
Jersey Boys,25282732 
Made of Honor,66548738 
The Rainmaker,5916769 
Medicine Man,4948240 
Amistad,18250151 
A Million Ways to Die in The West,46778557 
Final Destination 5,115011165 
Widows,35984700 
Fever Pitch,10071069 
Aliens vs. Predator - Requiem,88884494 
The Water Horse: Legend of the Deep,63429755 
Sex Tape,86069509 
Scream 4,55989590 
Ri￠hie Ri￠h,-1912244 
Autumn in New York,50717684 
Paul,61162106 
The Guilt Trip,1294674 
Colombiana,32295262 
8MM,56398826 
The Commuter,78509836 
Hanging Up,11867723 
The Doors,-5544152 
Mickey Blue Eyes,13864342 
The Spy Who Dumped Me,38998245 
Pay it Forward,15696705 
Arthur,7787943 
Drillbit Taylor,9686263 
Patriots Day,12837989 
Extremely Loud and Incredibly Close,15247881 
The Shadow,-8164400 
Transporter 3,72930957 
Morning Glory,19795070 
Get Rich or Die Tryin',6666955 
Long Shot,13624424 
The Art of War,390931 
Grudge Match,29817991 
Bless the Child,435694 
Rent,-8329380 
The Out-of-Towners,-11455880 
The Nut Job 2: Nutty by Nature,17424952 
The Island of Dr. Moreau,-12317288 
Wrath of Man,63913405 
The Musketeer,-12946185 
Resident Evil: The Final Chapter,274101190 
The Other Boleyn Girl,38269970 
The House,-8807575 
Sweet November,25754228 
The Reaping,22226214 
Season of the Witch,51126600 
Renaissance Man,-15827101 
Quest for Camelot,-1827500 
City by the Sea,-17494068 
At First Sight,-17634867 
Mechanic: Resurrection,85729635 
Torque,6176322 
Fantastic Mr. Fox,7001091 
The Happytime Murders,-12493588 
Showgirls,-2249246 
City Hall,-19721945 
Big Miracle,-14731320 
The Impossible,129590606 
A Thousand Words,-19209514 
Licorice Pizza,-7096451 
Detroit,-13966437 
Marie Antoinette,20862471 
Hunter Killer,-10687879 
Get Carter,-20582818 
Kiss of Death,-25057578 
Keeping Up with the Joneses,-11195574 
"Life, or Something Like It",-25551411 
Ishtar,-25624819 
Memoirs of an Invisible Man,-25641967 
Amelia,-20243923 
Cirque du Freak: The Vampire's Assistant,-246043 
New York Minute,-18843285 
The Deep End of the Ocean,-26491365 
Alfie,-4804061 
Malignant,-6025579 
FearDotCom,-26710710 
Soul Men,-27654117 
The Gunman,-15521387 
Universal Soldier II: The Return,-29282579 
Pandorum,-22966569 
Duplex,-29929349 
Paranoia,-23659233 
Raise the Titanic,-33000000 
Baahubali: The Beginning,-13263335 
The Hurricane Heist,-6777686 
Impostor,-32025393 
Victor Frankenstein,-8875633 
The Goldfinch,-30570090 
Extreme Ops,-27375529 
Just Visiting,-23827800 
Snowpiercer,46808204 
Sunshine,-7969390 
The Hudsucker Proxy,-25061851 
Billy Lynn’s Long Halftime Walk,-9769598 
Pirates,-33658175 
Delgo,-39084160 
The Hunting Party,-32270448 
Alex Rider: Operation Stormbreaker,-19277550 
Red Cliff,79627047 
The Last Shot,-39536270 
Nomad,-39920877 
Un monstre à Paris,-12999781 
Solomon Kane,-17975151 
Kursk,-34421741 
USS Indianapolis: Men of Courage,-38336215 
Dragon Nest Warriors' Dawn,-39265577 
Klaus,-40000000 
Death Note,-40000000 
The Woman in the Window,-40000000 
Cherry,-40000000 
Down Under Cover,-40000000 
Timmy Failure: Mistakes Were Made,-40000000 
Heaven and Hell,-40000000 
Hocus Pocus 2,-40000000 
The Time Traveler’s Wife,63332135 
Superman III,41200000 
Because I Said So,30538833 
Frankenweenie,42150788 
Sgt. Bilko,-1043411 
Serenity,1319440 
Shoot 'Em Up,-12203176 
Against the Ropes,-32570135 
Yi dai zong shi,19386660 
The Fast and the Furious,168458372 
Sweet Home Alabama,144365114 
The Ugly Truth,167298907 
Spy Kids 2: The Island of Lost Dreams,81721296 
Star Trek: Generations,82000000 
Captain Underpants: The First Epic Movie,88422949 
Paul Blart: Mall Cop 2,69453907 
Mouse Hunt,23894591 
Why Him?,79425156 
Water for Elephants,78809717 
Life as We Know It,67887837 
The Hurricane,35956241 
Riddick,56763758 
Heartbreakers,19753825 
Enough,12970660 
The 5th Wave,73336398 
Push,11678401 
Rush,60159204 
Angel Eyes,-8455468 
Joe Somebody,-13484010 
Overlord,1178189 
The War with Grandpa,8819069 
The Ninth Gate,20394308 
Only the Brave,-13444823 
Extreme Measures,-20621807 
The Thing,-10426922 
Rock Star,-18682235 
News of the World,-25331675 
The Kitchen,-22220739 
White Squall,-27770700 
City of Ember,-20168442 
Switchback,-31495558 
The Sisters Brothers,-23363933 
Texas Rangers,-37376626 
Virgin Territory,-32526959 
The Upside,88318440 
What to Expect When You're Expecting,50973016 
The Master,13379131 
The Express,-27686691 
Twilight,365278564 
We’re the Millers,230816276 
Creed,136567581 
The Town,115566881 
Dolphin Tale,59068724 
Game Night,80378084 
Burn After Reading,131167798 
13 Going On 30,60658712 
Tyler Perry’s Temptation,16143144 
Nim's Island,64857425 
How to be Single,63003780 
Cop Out,18909910 
The Rite,60143987 
Space Chimps,30029956 
Magnolia,11446802 
Aloha,-11612909 
The Ghouls,222425249 
Obitaemyy ostrov,-21500000 
A Star is Born,395870523 
Gnomeo and Juliet,157737977 
John Q.,66226631 
Blue Streak,81448157 
Never Say Never Again,124000000 
Hot Tub Time Machine,29967750 
Breakdown,14159144 
Dolphin Tale 2,21824533 
Beast,23103794 
Collateral Beauty,49309093 
A Man Apart,7797731 
Reindeer Games,-12639221 
Snow Falling on Cedars,-21621647 
Ghosts of Mississippi,-22947259 
Gattaca,-23467223 
Isn't She Great,-33045595 
Yip Man 3,121300954 
There Be Dragons,-31979010 
Queen of the Desert,-34421457 
Head of State,3083765 
It,666012746 
The Hangover,430487583 
The Blind Side,270705794 
Batman,376348924 
Austin Powers: The Spy Who Shagged Me,277383487 
True Grit,217276928 
Lethal Weapon 3,284700000 
Rush Hour,210300000 
Identity Thief,140361578 
The Devil Wears Prada,291073155 
Horrible Bosses,177417601 
Spy Kids,162692062 
Trainwreck,106123897 
Saving Mr. Banks,79962525 
Star Trek: The Motion Picture,104000000 
21,124846429 
What Happens in Vegas...,183535708 
Cape Fear,147291969 
The English Patient,196710008 
Hotel for Dogs,87357172 
Guess Who,67115888 
This is 40,55221182 
L.A. Confidential,91204977 
Sky High,48109359 
In & Out,48226569 
A Nightmare on Elm Street,82729618 
The Cell,69102747 
Species,78354449 
The Benchwarmers,30063726 
Secretariat,25376247 
The Man in the Iron Mask,21968169 
Friends with Benefits,111595891 
Neighbors 2: Sorority Rising,73757621 
TMNT,61096018 
Radio,18293628 
Sicario: Day of the Soldado,41346094 
Old Dogs,60104304 
Malcolm X,13169910 
Poltergeist,60691732 
Goosebumps 2: Haunted Halloween,58006429 
12 Strong,36118378 
Underworld 3: Rise of the Lycans,57141886 
Must Love Dogs,23405313 
License to Wed,35187088 
Donnie Brasco,30303052 
Max Payne,52775050 
Resident Evil,68787401 
The Ladykillers,42392139 
Something Borrowed,30084116 
The Nativity Story,11309644 
In Time,130103952 
The Back-up Plan,40281179 
J. Edgar,49606030 
Bounce,18425292 
Mile 22,31295121 
Hot Pursuit,15732472 
Concussion,15363790 
The Foreigner,110374099 
Closer,81148537 
Street Fighter,64423000 
Black Knight,-1577194 
The Bad News Bears,-1499380 
The Pianist,76854182 
House of Wax,35064800 
From Hell,33712365 
Adrift,22897191 
Mirrors,42220596 
Underworld: Blood Wars,46209222 
Queen of the Damned,-4692196 
Nanny McPhee and the Big Bang,62799865 
Untraceable,17649951 
Predator 2,19768418 
Abduction,51648359 
Flash Gordon,-7823024 
Superhero Movie,38026302 
Blast from the Past,-8386380 
Alex Cross,426759 
Jersey Girl,2066129 
Midnight in the Garden of Good and Evil,-9921063 
Bridget Jones’s Baby,172298383 
Heist,-6093183 
Hoffa,-6608527 
Whiskey Tango Foxtrot,-9649253 
Ella Enchanted,-10799682 
Hitman: Agent 47,47182803 
Phantom Thread,12740743 
The X-Files: I Want to Believe,33170792 
Premium Rush,-3606799 
Broken City,2114977 
Valiant,29188387 
Wonder Boys,-1577515 
Cursed,-9885099 
Walk Hard: The Dewey Cox Story,-14393947 
The Four Feathers,-5117355 
Furry Vengeance,4340177 
Parker,13543388 
Wimbledon,6666476 
Bait,-19528031 
Dungeons and Dragons,-1228035 
Lions for Lambs,28211088 
Flight of the Intruder,-20528560 
The Tree of Life,26721826 
American Outlaws,-21398891 
Playing for Keeps,-7194368 
Zoom,-22493812 
The Shipping News,-10594175 
The Young Victoria,-3121109 
Sabotage,-16623557 
Knock Off,-24680085 
Whiteout,-22745254 
Unfinished Business,-21785949 
The Walk,26492104 
The Fountain,-19538362 
Mandela: Long Walk to Freedom,-5109598 
Punisher: War Zone,-24842466 
The Order,-23440253 
A Good Year,7064105 
The Brothers Grimsby,-6279530 
The Snowman,8164679 
Femme Fatale,-18169748 
Warriors of Virtue,-28551183 
Luther,-2282937 
Biutiful,-10312476 
Radio Flyer,-30348023 
Bound by Honor,-30503417 
A Hologram for the King,-23153990 
Smilla's Sense of Snow,-32778006 
Playing for Keeps,-33000000 
Lion of the Desert,-33497864 
Le hussard sur le toit,-33679957 
Ride With the Devil,-34369221 
Stolen,-17032254 
Trespass,-34213468 
Bandidas,-15717410 
The Power of the Dog,-34736767 
The Trial of the Chicago 7,-34883527 
The Lovers,-34946101 
Guillermo Del Toro’s Pinocchio,-34948349 
Black Water Transit,-35000000 
The Darkest Hour,29826786 
Baby Driver,192977991 
The Maze Runner,314319861 
The Longest Ride,29802928 
The Age of Innocence,-1985007 
Gake no ue no Ponyo,171162666 
The Darkest Minds,4361428 
Chill Factor,-22736034 
The Astronaut's Wife,-23327434 
I Dreamed of Africa,-19708001 
Thunder and the House of Magic,28582520 
Greenland,6629075 
Reds,16500130 
A Few Good Men,203500000 
Big Momma's House,140559438 
Exit Wounds,46958599 
Mike and Dave Need Wedding Dates,42898100 
Step Up Revolution,132552290 
Snakes on a Plane,29020814 
The Punisher,21533774 
The Watcher,14267829 
21 Bridges,9657631 
Unhinged,4339104 
Safe,8495213 
Doomsday,-11378812 
Pushing Tin,-24591165 
Goal! The Dream Begins,-5389127 
The Young and Prodigious T.S. Spivet,-32642313 
Freaks of Nature,-32929042 
Star Wars Ep. VI: Return of the Jedi,442605360 
Bridesmaids,257132023 
The Reader,80464875 
The Big Wedding,15925971 
Wanderlust,-8340066 
Elf,192912848 
Phenomenon,120036382 
This is the End,94539117 
Snow Dogs,84898028 
Nacho Libre,67296462 
Scrooged,27450796 
Takers,38587268 
Source Code,108428499 
Stigmata,57441732 
Men of Honor,50339483 
I Feel Pretty,59444095 
The Transporter 2,56978458 
"Big Mommas: Like Father, Like Son",50332450 
